title,price,image_link
"
Сотовый телефон Apple iPhone 13 256GB красный
","
75500 сом
",/images/product/97898/1631808163_19486100.jpg
"
Сотовый телефон Xiaomi Poco C40 3/32GB черный
","

 9440 сом
-6%

8910 сом
",/images/product/109162/1658830303_46090100.jpg
"
Сотовый телефон Xiaomi Redmi 9A 2/32GB зеленый
","
8200 сом
",/images/product/82539/1597087470_22009200.jpg
"
Сотовый телефон Xiaomi Poco C40 3/32GB желтый
","

 9440 сом
-6%

8910 сом
",/images/product/109163/1658830346_69271300.jpg
"
Сотовый телефон Apple iPhone 13 128GB синий
","
66240 сом
",/images/product/97900/1631808440_79057200.jpg
"
Сотовый телефон Xiaomi Redmi Note 11S 5G 6/128GB черный
","

 19770 сом
-3%

19150 сом
",/images/product/113772/1668356813_17959500.png
"
Сотовый телефон Apple iPhone 13 256GB синий
","
75500 сом
",/images/product/97901/1631808460_05048700.jpg
"
Сотовый телефон Apple iPhone 13 128GB полуночный
","
66240 сом
",/images/product/97903/1631808729_32480300.jpg
"
Сотовый телефон Xiaomi Poco F4 5G 8/256GB черный
","
32240 сом
",/images/product/109167/1658831060_19712800.jpg
"
Сотовый телефон Apple iPhone 13 256GB полуночный
","
75500 сом
",/images/product/97904/1631808749_52759400.jpg
"
Сотовый телефон Apple iPhone 13 128GB сияющая звезда
","
66240 сом
",/images/product/97906/1631809004_80505000.jpg
"
Сотовый телефон Apple iPhone 13 256GB сияющая звезда
","
75500 сом
",/images/product/97907/1631809025_40225100.jpg
"
Сотовый телефон Apple iPhone 14 Plus 256GB полночный черный
","

 89790 сом
-1%

88740 сом
",/images/product/111987/1667069557_59609700.jpg
"
Сотовый телефон Apple iPhone 14 Plus 128GB полночный черный
","

 81060 сом
-1%

80610 сом
",/images/product/111988/1667068823_33963400.jpg
"
Сотовый телефон Apple iPhone 13 128GB розовый
","
66240 сом
",/images/product/97909/1631809348_37875500.jpg
"
Сотовый телефон Apple iPhone 14 Plus 128GB голубой
","

 81060 сом
-1%

80610 сом
",/images/product/111989/1667068764_08398100.jpg
"
Сотовый телефон Apple iPhone 13 256GB розовый
","
75500 сом
",/images/product/97910/1631809368_06181800.jpg
"
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB черный
","
83730 сом
",/images/product/104822/1648319089_75835000.png
"
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB белый
","
83730 сом
",/images/product/104823/1648319267_14637700.png
"
Сотовый телефон Apple iPhone 13 Pro 128GB графитовый
","
100110 сом
",/images/product/97912/1631811672_04783000.jpg
"
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB фиолетовый
","
83730 сом
",/images/product/104824/1648319379_27545800.png
"
Сотовый телефон Xiaomi 12 Lite 8/128GB черный
","
31160 сом
",/images/product/108408/1657099394_89184600.jpg
"
Сотовый телефон Realme 7i 4/128GB полярный синий
","
16600 сом
",/images/product/88953/1613404750_13715300.jpg
"
Сотовый телефон Apple iPhone 13 Pro 256GB графитовый
","

 109540 сом
-0%

109100 сом
",/images/product/97913/1631811727_72990400.jpg
"
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB зеленый
","
83730 сом
",/images/product/104825/1648319473_69430100.png
"
Сотовый телефон Xiaomi 12 Lite 8/128GB зеленый
","
31160 сом
",/images/product/108409/1657099397_38474300.jpg
"
Сотовый телефон Realme 7i 4/128GB зеленый
","
16600 сом
",/images/product/88954/1613404904_44119500.jpg
"
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB серый
","
83730 сом
",/images/product/104826/1648319584_65168500.png
"
Сотовый телефон Xiaomi 12 Lite 8/128GB розовый
","
31160 сом
",/images/product/108410/1657099399_63123100.jpg
"
Сотовый телефон Apple iPhone 13 Pro 1TB графитовый
","
118540 сом
",/images/product/97915/1631811801_57040900.jpg
"
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB красный
","
83730 сом
",/images/product/104827/1648319672_36030400.png
"
Сотовый телефон Samsung Galaxy A13 4G 6/128GB черный
","
16400 сом
",/images/product/116347/1674122714_30284100.jpg
"
Сотовый телефон Apple iPhone 13 Pro 128GB синий
","
100110 сом
",/images/product/97916/1631812105_74700200.jpg
"
Сотовый телефон Samsung Galaxy S22 Ultra 12/256GB голубой
","
83730 сом
",/images/product/104828/1648319758_15378800.png
"
Сотовый телефон Xiaomi 12 Lite 8/256GB черный
","
31790 сом
",/images/product/108412/1657099701_04144200.jpg
"
Сотовый телефон Apple iPhone 13 Pro 256GB синий
","
109100 сом
",/images/product/97917/1631812125_61155400.jpg
"
Сотовый телефон Xiaomi Redmi Note 11 Pro 4G 6/128GB серый
","
20990 сом
",/images/product/104829/1648320022_56998600.jpg
"
Сотовый телефон Xiaomi 12 Lite 8/256GB зеленый
","
31790 сом
",/images/product/108413/1657099715_34622000.jpg
"
Сотовый телефон Xiaomi Redmi Note 11 Pro 5G 8/128GB синий
","
25220 сом
",/images/product/104830/1648320266_68800700.jpg
"
Сотовый телефон Xiaomi 12 Lite 8/256GB розовый
","
31790 сом
",/images/product/108414/1657099737_56234100.jpg
"
Сотовый телефон BQ BQ-2004 Ray черно-зеленый
","
3000 сом
",/images/product/85887/1605092934_26047500.jpg
"
Сотовый телефон Apple iPhone 13 Pro 1TB синий
","

 118540 сом
-1%

117660 сом
",/images/product/97919/1631812173_61151400.jpg
"
Сотовый телефон Samsung Galaxy A03 4/64GB черный
","
10950 сом
",/images/product/104319/1647473798_95365200.jpg
"
Сотовый телефон Xiaomi 12X 8/256GB фиолетовый
","
46920 сом
",/images/product/104831/1648320483_40571400.jpg
"
Сотовый телефон Apple iPhone 13 Pro 128GB золотой
","
100110 сом
",/images/product/97920/1631812515_32549200.jpg
"
Сотовый телефон Samsung Galaxy A03 4/64GB синий
","
10950 сом
",/images/product/104320/1647473810_33860900.jpg
"
Сотовый телефон Nokia 230 Dual Sim синий
","
5290 сом
",/images/product/75393/1576673544_72059700.jpg
"
Сотовый телефон BQ BQ-2004 Ray черно-оранжевый
","
3000 сом
",/images/product/85889/1605093053_06490400.jpg
"
Сотовый телефон Apple iPhone 13 Pro 256GB золотой
","
109100 сом
",/images/product/97921/1631812534_01241800.jpg
"
Сотовый телефон Samsung Galaxy A03 4/64GB красный
","
10950 сом
",/images/product/104321/1647473818_19677700.jpg
"
Сотовый телефон Xiaomi 11T Pro 8/256GB серый
","
38190 сом
",/images/product/104833/1648321987_96090900.png
"
Сотовый телефон Xiaomi Redmi 9C 3/64GB серый
","
9440 сом
",/images/product/83330/1598627217_62522600.jpg
"
Сотовый телефон BQ BQ-2004 Ray черный
","
3000 сом
",/images/product/85890/1605093127_09908400.jpg
"
Сотовый телефон Xiaomi 11T Pro 8/256GB белый
","
38190 сом
",/images/product/104834/1648322109_04391500.png
"
Сотовый телефон Xiaomi Redmi 9C 3/64GB синий
","

 9610 сом
-2%

9440 сом
",/images/product/83331/1598637451_49522700.jpg
